regime,resource,coupling,role,source,destination,file_count,bytes
article_both_losses,magic_W_half,cosine_omega,selected_W_half,/Users/cesar/Research/time-dependent-coupling-open/results/mixed_state_magic_witnesses/mixed_magic1/derived/expected_values_all_cases_xy/expected_values_all_cases_xy1/magic_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/cosine_omega/selected_W_half,16,1117618
article_both_losses,magic_W_half,cosine_omega,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/magic_plots/densityplot_cos1_magic.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/cosine_omega/current_article_figures/densityplot_cos1_magic.pdf,1,730525
article_both_losses,magic_W_half,cosine_omega,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/magic_plots/plottimeev_cos1_magic.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/cosine_omega/current_article_figures/plottimeev_cos1_magic.pdf,1,42861
article_both_losses,entanglement,gaussian_zeta,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/entanglement_gauss1,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/gaussian_zeta/full_scan,9,1154819
article_both_losses,entanglement,gaussian_zeta,selected_expected_values,/Users/cesar/Research/time-dependent-coupling-open/results/expected_values_all_cases_xy/expected_values_all_cases_xy1/fig7_entanglement_gauss_epsilon,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/gaussian_zeta/selected_expected_values,93,792897
article_both_losses,entanglement,gaussian_zeta,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/entanglement_plots/densityplot_gauss1_ent.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/gaussian_zeta/current_article_figures/densityplot_gauss1_ent.pdf,1,420533
article_both_losses,entanglement,gaussian_zeta,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/entanglement_plots/plottimeev_gauss1_ent.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/gaussian_zeta/current_article_figures/plottimeev_gauss1_ent.pdf,1,37768
article_both_losses,entanglement,gaussian_T,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/entanglement_gauss3,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/gaussian_T/full_scan,9,1154809
article_both_losses,entanglement,gaussian_T,selected_expected_values,/Users/cesar/Research/time-dependent-coupling-open/results/expected_values_all_cases_xy/expected_values_all_cases_xy1/fig8_entanglement_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/gaussian_T/selected_expected_values,93,791647
article_both_losses,entanglement,gaussian_T,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/entanglement_plots/densityplot_gauss3_ent.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/gaussian_T/current_article_figures/densityplot_gauss3_ent.pdf,1,489899
article_both_losses,entanglement,gaussian_T,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/entanglement_plots/plottimeev_gauss3_ent.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/gaussian_T/current_article_figures/plottimeev_gauss3_ent.pdf,1,37662
article_both_losses,entanglement,cosine_omega,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/entanglement_cos6,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/cosine_omega/full_scan,9,2299559
article_both_losses,entanglement,cosine_omega,selected_expected_values,/Users/cesar/Research/time-dependent-coupling-open/results/expected_values_all_cases_xy/expected_values_all_cases_xy1/fig9_entanglement_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/cosine_omega/selected_expected_values,93,787337
article_both_losses,entanglement,cosine_omega,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/entanglement_plots/densityplot_cos6_ent.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/cosine_omega/current_article_figures/densityplot_cos6_ent.pdf,1,408848
article_both_losses,entanglement,cosine_omega,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/entanglement_plots/plottimeev_cos6_ent.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/entanglement/cosine_omega/current_article_figures/plottimeev_cos6_ent.pdf,1,43358
only_dephasing,wigner,gaussian_zeta,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_wigner_gauss_zeta,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/wigner/gaussian_zeta/full_scan,760,8157304
