t,sz_const,nb_const,sz_const_aberto,nb_const_aberto
0.99,0.12278135782981059,4.938608429140735,0.11044313171705789,4.472528304251997
1.0,0.1247234389226855,4.937637416051764,0.11284778923254847,4.46685629620637
1.2462311557788945,0.08508660338849461,4.957455745217394,0.0942521982722748,4.367543492804661
1.492462311557789,-0.039352482203740165,5.019675021363766,-0.01572770005761439,4.315654061724393
1.7386934673366834,-0.08557340894789667,5.042785112626254,-0.08052905923552625,4.24259475942784
1.984924623115578,-0.03033139513620722,5.015163689777705,-0.0535117435866212,4.125989582583867
2.2311557788944727,0.023936887453471396,4.9880291751564245,-2.6538708848453016e-06,3.999223426241122
2.477386934673367,0.020735428950296567,4.989629643597178,0.017616603882460884,3.893296739671637
2.7236180904522613,-0.005960432727372621,5.002977266048877,0.0018459091833615852,3.806408772282627
2.969849246231156,-0.015970458775711103,5.0079819418381595,-0.015548252913588741,3.722407518333044
3.2160804020100504,-0.010487613136076176,5.00524018072783,-0.019715063687468278,3.633914731737659
3.462311557788945,-0.005748074989100916,5.002870076800631,-0.016238643532466138,3.5438094068202814
3.7085427135678395,-0.005852239811964589,5.002921824003489,-0.013171276914865452,3.4561027862045446
3.9547738693467336,-0.006367880966419228,5.00317930883187,-0.012199914326775476,3.3715635454214876
4.201005025125628,-0.004847635307174552,5.00241885023175,-0.011572979565178903,3.2892487655223133
4.447236180904523,-0.001957700119568168,5.000973546879817,-0.01029886473533375,3.2086163417541966
4.693467336683417,0.0013358418094584642,4.999326440096842,-0.008902639075396459,3.1298857826440303
4.939698492462312,0.004496123424985414,4.9977459633962695,-0.008437194961498529,3.0535308904745624
5.185929648241206,0.006809028998187857,4.996589047016818,-0.009759865641584917,2.9799169508856522
5.432160804020101,0.007223978132710821,4.99638121954485,-0.013303878978301487,2.9091907756484168
5.678391959798995,0.004725866680162358,4.997629988835373,-0.01894269933576365,2.841218982647262
5.92462311557789,-0.0011566369833953258,5.000570801128154,-0.02585078347089186,2.7755261036231165
6.170854271356784,-0.0098497299022776,5.00491683553365,-0.032532570201309674,2.7113174917952243
6.417085427135679,-0.019380785413597848,5.009681868138132,-0.037165405032290974,2.6476567957804895
6.6633165829145735,-0.026458899315570553,5.01322050000095,-0.03823377225222352,2.5837828728334338
6.909547738693467,-0.027273341254900864,5.013627310088317,-0.03525171119640303,2.5194622623449336
7.155778894472362,-0.019056216049085133,5.0095183013993205,-0.029246747345314645,2.455214940602626
7.402010050251256,-0.002008397017069241,5.000993952988595,-0.02268417762292382,2.3922579131519837
7.648241206030151,0.019328186555327143,4.990325294321765,-0.01869776225824111,2.332107633338687
7.894472361809045,0.03643670035470699,4.981770600262014,-0.019826526698936656,2.2759485510114885
8.14070351758794,0.039732565502353184,4.980122236732012,-0.026787017044533387,2.224035183731861
8.386934673366834,0.023574490734094792,4.988200841275169,-0.03792728324195201,2.1754460375848295
8.633165829145728,-0.008813397241091233,5.004394335142595,-0.049772372399203534,2.1283827845993404
8.879396984924623,-0.04392405034529175,5.021949223706463,-0.05853315476088195,2.0809375012227673
9.125628140703517,-0.0627822554146883,5.031377886771672,-0.06188096929958715,2.0319716119536744
9.371859296482413,-0.05143054408076154,5.025701591725772,-0.06004871547345215,1.9816398860743514
9.618090452261306,-0.011811595055519193,5.005891571329066,-0.05561866339845642,1.931252738409685
9.864321608040202,0.03508813104529396,4.982441273075593,-0.05208291239310522,1.8825362019848828
10.110552763819095,0.059327893373423125,4.970320953828659,-0.051990596909257156,1.8367068735350331
10.35678391959799,0.04205962549125391,4.978954648748393,-0.05575133272115545,1.7938944648449249
10.603015075376884,-0.007654319398917278,5.003811182644593,-0.061753608352298865,1.7532281234826732
10.84924623115578,-0.05457387786178068,5.027270523505915,-0.06763112065186838,1.7134870165130152
11.095477386934673,-0.06148337465309547,5.030724833745634,-0.07181185895351276,1.67387367151064
11.341708542713569,-0.020207163897900268,5.010086290447614,-0.07437105209505195,1.634423866245812
11.587939698492463,0.037402135016517214,4.981281203320345,-0.07672941798003577,1.595836181593883
11.834170854271358,0.06319781872880628,4.968382924061586,-0.08051124878682732,1.55889141330852
12.080402010050252,0.03488536895205671,4.98253871183236,-0.08637746879927159,1.523874646320778
12.326633165829147,-0.02212447886104978,5.0110431989244155,-0.09357802294794343,1.4903671975505846
12.57286432160804,-0.05797438691077136,5.028967716456512,-0.10043333806395202,1.457502360319191
12.819095477386934,-0.04697839368715502,5.023469283692875,-0.10535302550503677,1.4244796454598398
13.06532663316583,-0.011022845535363632,5.005491073656852,-0.10772134319966861,1.3910000393901105
13.311557788944723,0.0093802119546082,4.995289108914661,-0.1081541155359058,1.3573799471936803
13.557788944723619,0.0033165934916385047,4.998320482108262,-0.10808312630810972,1.3243304043734039
13.804020100502512,-0.0026917348857767934,5.001324210216349,-0.10902165992281852,1.2925846546475872
14.050251256281408,0.01218061625336267,4.993887598521412,-0.11196424479892089,1.2626014660540599
14.296482412060302,0.028824851077463385,4.985565044937357,-0.11716984712954547,1.2344651401275868
